Timestamp,OfferedLoad,RngRun,FlowSrc,FlowDst,Throughput,Delay
2021-05-31 12:05,100,335,10.2.1.2,10.2.1.1,2.97456,3.90732
2021-05-31 12:05,100,335,10.1.6.8,10.1.6.1,0.39617,0.496194
2021-05-31 12:05,100,335,10.1.3.2,10.1.3.1,13.4628,4.50586
2021-05-31 12:05,100,335,10.1.3.10,10.1.3.1,0.894909,3.62213
2021-05-31 12:05,100,335,10.2.4.2,10.2.4.1,16.0955,0.047601
2021-05-31 12:05,100,335,10.1.1.6,10.1.1.1,-0,-nan
2021-05-31 12:05,100,335,10.2.0.2,10.2.0.1,0.297963,2.49417
2021-05-31 12:05,100,335,10.1.3.4,10.1.3.1,-0,-nan
2021-05-31 12:05,100,335,10.1.3.7,10.1.3.1,0.796969,3.52026
2021-05-31 12:05,100,335,10.1.4.5,10.1.4.1,3.12274,0.0314422
2021-05-31 12:05,100,335,10.1.4.9,10.1.4.1,0.0117666,6.36094
2021-05-31 12:05,100,335,10.1.2.6,10.1.2.1,0.0432643,3.3805
2021-05-31 12:05,100,335,10.1.4.10,10.1.4.1,1.53879,0.0674497
2021-05-31 12:05,100,335,10.1.4.7,10.1.4.1,14.1348,4.53671
2021-05-31 12:05,100,335,10.1.6.2,10.1.6.1,11.9622,4.63207
2021-05-31 12:05,100,335,10.1.5.2,10.1.5.1,0.0653175,0.30919
2021-05-31 12:05,100,335,10.1.0.6,10.1.0.1,0.0260108,6.3374
2021-05-31 12:05,100,335,10.2.5.2,10.2.5.1,2.16025,4.23276
2021-05-31 12:05,100,335,10.1.0.8,10.1.0.1,1.01608,4.74155
2021-05-31 12:05,100,335,10.1.2.2,10.1.2.1,30.5566,2.93278
2021-05-31 12:05,100,335,10.2.3.2,10.2.3.1,0.0630141,6.1584
2021-05-31 12:05,100,335,10.1.6.7,10.1.6.1,3.73308,4.99266
2021-05-31 12:05,100,335,10.1.0.5,10.1.0.1,-0,-nan
2021-05-31 12:05,100,335,10.1.2.5,10.1.2.1,0.00308772,1.77164
2021-05-31 12:05,100,335,10.1.4.8,10.1.4.1,7.91506,5.32441
2021-05-31 12:05,100,335,10.1.5.6,10.1.5.1,0.0889434,3.86254
2021-05-31 12:05,100,335,10.1.2.10,10.1.2.1,0.00488973,2.09337
2021-05-31 12:05,100,335,10.1.3.8,10.1.3.1,0.00102668,7.47228
2021-05-31 12:05,100,335,10.1.5.10,10.1.5.1,0.00236414,6.43046
2021-05-31 12:05,100,335,10.1.0.10,10.1.0.1,0.00306318,0.977132
2021-05-31 12:05,100,335,10.1.2.3,10.1.2.1,-0,-nan
2021-05-31 12:05,100,335,10.1.2.4,10.1.2.1,0.945751,6.47607
2021-05-31 12:05,100,335,10.1.2.8,10.1.2.1,-0,-nan
2021-05-31 12:05,100,335,10.1.0.3,10.1.0.1,-0,-nan
2021-05-31 12:05,100,335,10.1.4.3,10.1.4.1,0.203774,6.1568
2021-05-31 12:05,100,335,10.1.6.3,10.1.6.1,4.64458,5.80933
2021-05-31 12:05,100,335,10.1.5.4,10.1.5.1,3.32851,5.62079
2021-05-31 12:05,100,335,10.1.0.2,10.1.0.1,-0,-nan
2021-05-31 12:05,100,335,10.1.6.10,10.1.6.1,5.95235,4.90705
2021-05-31 12:05,100,335,10.1.6.9,10.1.6.1,6.45283,5.59572
2021-05-31 12:05,100,335,10.1.1.8,10.1.1.1,0.438253,6.0097
2021-05-31 12:05,100,335,10.1.1.7,10.1.1.1,15.6561,4.38292
2021-05-31 12:05,100,335,10.1.2.9,10.1.2.1,0.00431915,4.64103
2021-05-31 12:05,100,335,10.1.1.5,10.1.1.1,11.2925,4.85382
2021-05-31 12:05,100,335,10.1.6.5,10.1.6.1,4.71531,5.62468
2021-05-31 12:05,100,335,10.1.1.3,10.1.1.1,-0,-nan
2021-05-31 12:05,100,335,10.1.3.3,10.1.3.1,0.0264169,5.83043
2021-05-31 12:05,100,335,10.1.5.7,10.1.5.1,0.0127456,6.81022
2021-05-31 12:05,100,335,10.1.1.9,10.1.1.1,6.75174,5.34889
2021-05-31 12:05,100,335,10.1.4.4,10.1.4.1,9.91591,4.99671
2021-05-31 12:05,100,335,10.1.3.9,10.1.3.1,0.614107,6.19118
2021-05-31 12:05,100,335,10.1.6.6,10.1.6.1,2.06744,6.00265
2021-05-31 12:05,100,335,10.1.5.8,10.1.5.1,0.0573715,2.82322
2021-05-31 12:05,100,335,10.1.5.3,10.1.5.1,0.0482819,5.9704
2021-05-31 12:05,100,335,10.1.5.9,10.1.5.1,-0,-nan
2021-05-31 12:05,100,335,10.1.0.9,10.1.0.1,0.0946609,6.11949
2021-05-31 12:05,100,335,10.1.4.6,10.1.4.1,-0,-nan
2021-05-31 12:05,100,335,10.2.2.2,10.2.2.1,0.795511,6.55647
2021-05-31 12:05,100,335,10.1.3.5,10.1.3.1,0.00357493,6.6355
2021-05-31 12:05,100,335,10.1.1.4,10.1.1.1,0.357255,6.14852
2021-05-31 12:05,100,335,10.1.3.6,10.1.3.1,8.37135,5.32608
2021-05-31 12:05,100,335,10.1.0.4,10.1.0.1,-0,-nan
2021-05-31 12:05,100,335,10.1.6.4,10.1.6.1,7.56755,5.25852
2021-05-31 12:05,100,335,10.1.1.2,10.1.1.1,0.00245029,7.00727
2021-05-31 12:05,100,335,10.1.2.7,10.1.2.1,-0,-nan
2021-05-31 12:05,100,335,10.1.1.10,10.1.1.1,0.456638,6.43574
2021-05-31 12:05,100,335,10.1.0.7,10.1.0.1,-0,-nan
2021-05-31 12:05,100,335,10.2.6.2,10.2.6.1,-0,-nan
2021-05-31 12:05,100,335,10.1.5.5,10.1.5.1,-0,-nan
2021-05-31 12:05,100,335,10.1.4.2,10.1.4.1,0.000538942,5.74988
